* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 12 2022 09:17:48

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP1K
Package, QN84

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, not used, , , , , , leftBank
A43, PIO_GBIN, VCCIO_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A44, PIO, VDDQ_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A45, PIO, not used, , , , , , topBank
A46, PIO, not used, , , , , , topBank
A47, PIO, SLP_S4n, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A48, PIO, HDA_SDO_FPGA, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B1, PIO, VCCINAUX_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B2, PIO, VCCST_PWRGD, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B3, PIO, SYS_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B4, PIO, not used, , , , , , leftBank
B5, PIO, VPP_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B6, VCCIO_3, not used, , , , , , leftBank
B7, PIO, DSW_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B8, PIO, V5S_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B9, PIO, RSMRSTn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B10, PIO, not used, , , , , , bottomBank
B11, PIO, not used, , , , , , bottomBank
B12, PIO_GBIN, not used, , , , , , bottomBank
B13, PIO, not used, , , , , , bottomBank
B14, PIO, not used, , , , , , bottomBank
B15, PIO, not used, , , , , , bottomBank
B16, CDONE, not used, , , , , , bottomBank
B17, SPI_SO, not used, , , , , , bottomBank
B18, SPI_SS_B, not used, , , , , , bottomBank
B19, PIO, not used, , , , , , rightBank
B20, PIO, not used, , , , , , rightBank
B21, PIO, not used, , , , , , rightBank
B22, PIO_GBIN, V33A_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
B23, PIO, V1P8A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
B24, PIO, GPIO_FPGA_PCH_1, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
B25, VCCIO_1, not used, , , , , , rightBank
B26, PIO, V5A_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
B27, PIO, V1P8A_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
B28, VCC, not used, , , , , , UnknownBank
B29, PIO, VR_READY_VCCINAUX, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B30, PIO, not used, , , , , , topBank
B31, PIO, V33S_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B32, PIO_GBIN, VCCST_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B33, GND, not used, , , , , , UnknownBank
B34, PIO, VDDQ_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B35, PIO, GPIO_FPGA_PCH_5, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B36, PIO, SLP_S3n, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
Total Number of Used Pins, 37
